feature_id	promise	surface_route	role	preview_status	pilot_repository_method	backend_object	automated_scenario	manual_scenario	evidence_path	disposition
preview-storage	Preview state remains available with versioned local persistence	/	participant	retained	DemoStorageAdapter load/save/reset	localStorage demo envelope	DemoStorageAdapter round-trips a versioned envelope and resets malformed input	Playwright preview chooser survives reload with the demo storage key	.omo/evidence/plus-run/task-1/preview-storage	retained
preview-participant-routes	Preview participant navigation remains coherent	/today /feed /record /change	participant	retained	DemoRepository plus participantBindings	localStorage demo state	resolveRoute maps each participant route and rejects extra path segments	Playwright navigates Today, Feed, Record, and Change from the participant shell	.omo/evidence/plus-run/task-1/participant-routes	retained
preview-coach-routes	Preview coach navigation remains coherent	/coach/cohort /coach/assignments /coach/feedback /coach/notices	coach	retained	DemoRepository plus coachBindings	localStorage demo state	resolveRoute maps each coach route	Playwright opens the coach cohort and assignment views	.omo/evidence/plus-run/task-1/coach-routes	retained
assignment-completion	Assignment completion is recorded without implicit social publication	/today	participant	retained	Pilot assignment completion repository method	assignments and completions; no feed insert	Baseline pins the current completion-post debt before Todo 9 replaces it	Playwright completes an assignment and checks the feed publication behavior	.omo/evidence/plus-run/task-1/assignment-completion	replaced
feed-social	Explicit hearts/comments/share stay separate from health records	/feed	participant	retained	Pilot feed repository methods	feed posts, reactions, comments, share events	Feed model excludes metrics and completion side effects	Playwright adds an explicit heart/comment and observes only that feed row change	.omo/evidence/plus-run/task-1/feed-social	retained
pilot-auth	Pilot is invite-only and uses OTP session lifecycle	/auth	participant,coach,admin	pilot-required	PilotAuthShell and typed PilotGateway	Supabase Auth session and enrollment	Missing pilot public configuration resolves to blocked before gateway import	Playwright loads a pilot route with invalid config and sees a fail-closed alert	.omo/evidence/plus-run/task-1/pilot-auth	added
pilot-participant-home	Participant Home exposes action-first Today state	/pilot/today	participant	pilot-required	ParticipantRepository listToday	assignments, notices, participant profile	Pilot Home query contract returns typed Today data	Authenticated participant opens Today and sees only their assigned action	.omo/evidence/plus-run/task-8/participant-home	added
pilot-records	Participant records support manual, file, and screenshot review drafts	/pilot/record	participant	pilot-required	RecordRepository createReviewDraft and acceptDraft	assessment records and import drafts	Unaccepted drafts never become accepted records	Participant creates a draft, reviews provenance, and explicitly accepts it	.omo/evidence/plus-run/task-9/records	added
private-questions	Private Q&A is private by default and can be explicitly routed	/pilot/questions	participant,named-coach	pilot-required	QuestionRepository createAnswerCloseArchive	private questions, answers, and redacted FAQ copies	Unauthorized roles cannot select question bodies	Participant asks privately; named coach answers; FAQ publication requires opt-in	.omo/evidence/plus-run/task-3/private-questions	added
consent-controls	Six consent purposes are independently grantable and revocable	/pilot/settings/consent	participant	pilot-required	ConsentRepository grantRevoke	purpose-specific consent rows and audit events	Revoking one purpose leaves other purposes unchanged	Participant grants and revokes each purpose while the audit event stays content-free	.omo/evidence/plus-run/task-3/consent-controls	added
coach-cohort	Named coach can scan their cohort without cross-cohort reads	/pilot/coach/cohort	named-coach	pilot-required	CoachRepository listCohort	cohorts, enrollments, and authorized participant projections	Other-coach and cross-program rows are denied	Named coach opens the dense roster and cannot open an unrelated cohort	.omo/evidence/plus-run/task-10/coach-cohort	added
coach-assignments	Coach can publish assignments and inspect completion state	/pilot/coach/assignments	named-coach	pilot-required	CoachRepository publishAssignment	assignments, assignment targets, and completions	Publishing is idempotent and unauthorized roles are denied	Coach publishes one assignment and sees it in the intended cohort only	.omo/evidence/plus-run/task-11/coach-assignments	added
coach-feedback	Coach approves low-risk feedback before delivery	/pilot/coach/feedback	named-coach	pilot-required	FeedbackRepository reviewDraft	feedback drafts, reviews, and delivery records	Unreviewed AI drafts cannot be delivered	Coach approves a low-risk draft and the participant receives the approved result	.omo/evidence/plus-run/task-12/coach-feedback	added
coach-notices	Coach can publish scoped notices and location/training guidance	/pilot/coach/notices	named-coach	pilot-required	NoticeRepository publishNotice	announcements and audience scopes	A notice reaches only its configured tenant and audience	Coach publishes a notice and participant sees it on Today	.omo/evidence/plus-run/task-13/coach-notices	added
admin-operations	Operations admin can manage membership schedule publishing and settings without individual health reads	/pilot/admin/overview /pilot/admin/members /pilot/admin/schedule /pilot/admin/settings	admin	pilot-required	AdminRepository operational commands only	tenant membership schedule governance settings	Admin policy transaction returns zero individual health or private-Q&A rows	Admin opens operations pages and receives denial for individual sensitive reads	.omo/evidence/plus-run/task-14/admin-operations	added
aggregate-reports	Stakeholders receive suppressed aggregate reports only	/pilot/admin/reports	admin,stakeholder	pilot-required	ReportRepository aggregateSnapshot	report snapshots and suppression cells	Cells with n<5 are suppressed and stakeholder queries expose no individual rows	Stakeholder downloads an aggregate report with suppressed small cells	.omo/evidence/plus-run/task-15/aggregate-reports	added
measurement-protocol	Fixed 2026 3K and exploratory RHR windows remain immutable after acceptance	/pilot/coach/time-trial	participant,named-coach	pilot-required	AssessmentRepository acceptAttempt	protocol versions, sessions, attempts, and conditions	Second ordinary official attempt and late protocol edits are rejected	Coach records Aug 27 baseline and Oct 15 retest as separate sessions	.omo/evidence/plus-run/task-2/measurement-protocol	added
structured-imports	FIT, TCX, GPX, CSV, Samsung XML, and Apple Health XML/JSON preserve provenance without raw-file storage	/pilot/record/import	participant	pilot-required	ImportRepository createDraft acceptStructured	import drafts, parser versions, quality flags, and server HMAC	Accepted drafts have server-derived HMAC and no raw file object	Participant imports a supported file, resolves duplicate review, and accepts the draft	.omo/evidence/plus-run/task-4/structured-imports	added
screenshot-review	Screenshot capture is metadata-only and human-reviewed	/pilot/record/screenshot	participant,named-coach	pilot-required	ScreenshotReviewRepository createMetadataJob	metadata-only screenshot jobs and review drafts	Pixels are never persisted and missing consent fails closed	Participant submits a screenshot draft, reviews metadata, and discards it	.omo/evidence/plus-run/task-4/screenshot-review	added
ai-controls	Screenshot AI and generative feedback require the matching consent and ZDR attestation	/pilot/record/screenshot /pilot/coach/feedback	participant,named-coach	pilot-required	AiSafetyRepository checkConsentAndZdr	AI consent links, provider controls, and job status	Removing attestation prevents every provider call	QA removes the attestation and observes fail-closed no-call behavior	.omo/evidence/plus-run/task-4/ai-controls	added
notifications	Notifications are quiet-hours aware and capped per participant per tenant day	/pilot/notifications	participant,coach	pilot-required	NotificationRepository enqueueDigest	notification preferences events deliveries and caps	Fourth non-urgent event is suppressed and quiet hours defer delivery	Participant changes preferences and receives no more than three daily events	.omo/evidence/plus-run/task-4/notifications	added
lifecycle-deletion	Withdrawal and deletion workers remove sensitive data idempotently with audit-safe retries	/pilot/settings/delete	participant,admin	pilot-required	LifecycleRepository requestDeletionProcessRetry	retention deadlines deletion phases and tombstones	Retry after Storage/DB/Auth failure converges without duplicate side effects	Participant withdraws and observes session/data evacuation while admin sees only lifecycle status	.omo/evidence/plus-run/task-16/lifecycle-deletion	added
pilot-static-shell	Pilot static shell and authenticated session remain isolated from preview persistence	/pilot/*	participant,coach,admin	pilot-required	BrowserPilotRuntime and static-shell cache policy	allowlisted static assets and sessionStorage auth exception	Pilot bundle has zero DemoRepository/localStorage imports and no sensitive Cache Storage entries	Offline pilot shell shows the safe boundary and clears state after sign-out	.omo/evidence/plus-run/task-17/pilot-static-shell	added
public-pages	Existing GitHub Pages deployment remains live with direct-route fallback and scoped PWA assets	/run-change-bootcamp/*	anonymous	retained	Pages build and static fallback server	GitHub Pages static artifacts	Pages deployment suite and Playwright smoke serve /record after a static 404	Browser loads the public root, direct /record route, manifest, service worker, and icon	.omo/evidence/plus-run/task-1/public-pages	retained
pilot-deployment	Separate pilot host is HTTPS, invite-only, and fail-closed on missing public config	/pilot/*	anonymous,participant,coach,admin	pilot-required	Pilot deployment adapter with runtime validation	separate host Supabase project and deployment metadata	Invalid public config renders blocked boundary and never falls back to preview storage	Curl and browser direct-route smoke returns protected pilot shell without preview data	.omo/evidence/plus-run/task-19/pilot-deployment	added
raw-health-storage	Raw exercise files, route coordinates, device identifiers, and screenshot pixels are not durable pilot data	/pilot/record	participant,admin,stakeholder	forbidden	forbidden: no repository ownership	forbidden by schema, storage policy, and Edge Function boundary	Security tests reject forbidden fields and storage writes	Attempted raw upload is denied and no object or row appears	.omo/evidence/plus-run/task-4/raw-health-storage	forbidden
medical-ranking-claims	Medical diagnosis, causal claims, employee ranking, and p-value claims are forbidden	/all routes	all roles	forbidden	forbidden: no repository ownership	forbidden product copy and report contract	Static/policy scan rejects disallowed claim classes	Review screens and reports contain no diagnosis, ranking, or causal claim	.omo/evidence/plus-run/task-2/medical-ranking-claims	forbidden
